tconst	averageRating	numVotes
tt0000001	8.7	2128
tt0000002	4.6	286
tt0000003	1.5	2163
tt0000004	5.3	183
tt0000005	7.2	2891
tt0000006	5.0	205
tt0000007	2.3	899
tt0000008	5.4	2273
tt0000009	9.4	218
tt0000010	6.8	7852
tt0000011	8.7	2128
tt0000012	4.6	286
tt0000013	1.5	2163
tt0000014	5.3	183
tt0000015	7.2	2891
tt0000016	5.0	205
tt0000017	2.3	899
tt0000018	5.4	2273
tt0000019	9.4	218
tt0000020	6.8	7852
tt0000021	8.7	2128
tt0000022	4.6	286
tt0000023	1.5	2163
tt0000024	5.3	183
tt0000025	5.3	183
tt0000026	5.0	205
tt0000027	2.3	899
tt0000028	5.3	183
tt0000029	5.0	205
tt0000030	2.3	899
tt0000031	8.7	2128
tt0000032	4.6	286
tt0000033	1.5	2163
tt0000034	5.3	183
tt0000035	5.3	183
tt0000036	5.0	205
tt0000037	2.3	899
tt0000038	5.3	183
tt0000039	5.0	205
tt0000040	2.3	899
tt0000041	8.7	2128
tt0000042	4.6	286
tt0000043	1.5	2163
tt0000044	5.3	183
tt0000046	5.0	205
tt0000047	2.3	899
tt0000048	5.3	183
tt0000049	5.0	205
tt0000050	2.3	899
